Dataset Identifier	Title	Repos	Species	Instrument	Publication	LabHead	Announce Date	Keywords
PXD021343	proteomic in extracellular vesicles produced by t-all and b-all cells	PRIDE	homo sapiens 	LTQ Orbitrap Elite	Dataset with its publication pending	Ronan Qu�r�	2022-04-07	human, leukemia, acute lymphoblastic leukemia, extracellular vesicles, 
PXD017525	proteomic analysis of chemical and genetic ezh2 inhibition in diffuse intrinsic pontine glioma cell lines	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	35300150	Martin Hagedorn	2022-04-01	diffuse intrinsic pontine glioma, quantitative proteome, ezh2 inhibition, gsk126, ezh2 knock down, 
PXD028683	class i hdac overexpression promotes temozolomide resistance in glioma cells by regulating rad18 expression	PRIDE	homo sapiens 	Q Exactive Plus	Dataset with its publication pending	Falk Butter	2022-04-01	lc-ms/ms, 
PXD032819	ms-based arginine monomethylation study in jurkat prmt7 ko cells	jPOST	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Olli Lohi	2022-03-27	t-all, prmt7, jurkat, arginine monomethylation, 
PXD023662	proteomics analysis of childhood acute lymphoblastic leukemia cell lines reveals novel drug vulnerabilities	PRIDE	homo sapiens 	Q Exactive HF	35354797	Rozbeh Jafari	2022-03-26	lc-msms, all, hirief, 
PXD032807	the novels biomarkers for assessing clinical benefits of continuous renal replacement therapy in pediatric sepsis	iProX	homo sapiens	Q Exactive	Dataset with its publication pending	Chunxia Wang	2022-03-25	continuous renal replacement therapy, pediatric sepsis, biomarkers, 
PXD024001	secretome & cellular proteome analysis of human glioma ln229	PRIDE	homo sapiens 	LTQ Orbitrap Velos	Dataset with its publication pending	Vincent Chen, PhD	2022-03-18	glioma, secretome, lc-ms/ms, multi-proteomic, multi-p, network analysis, 
PXD028481	znf384 fusion oncoproteins drive lineage aberrancy in acute leukemia	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Charles Mullighan	2022-03-16	znf384, fusion oncoprotein, stem cell, lineage ambiguous, mixed phenotype, leukemia, 
PXD032308	itraq-based proteomic analysis reveals potential serum biomarkers for pediatric non-hodgkin’s lymphoma	iProX	homo sapiens	TripleTOF 5600	Dataset with its publication pending	Zunmin Zhu	2022-03-15	non-hodgkin’s lymphoma, proteomics, children, isobaric tags for relative and absolute quantification (itraq), serum, 
PXD030463	label-free quantitative proteome of aml cd34+ and mobilized pb cd34+ cells	PRIDE	homo sapiens 	LTQ Orbitrap	30245083	Jan Jacob Schuringa	2022-03-14	acute myeloid leukemia, leukemic stem/progenitor cells, 
PXD031305	proteomics of extracellular vesicles purified by various methods.	jPOST	homo sapiens 	LTQ Orbitrap Elite	Dataset with its publication pending	Ai Kotani	2022-03-14	ebv ev lymphoma, 
PXD030597	growth factor-induced alterations of plasma membrane-associated proteome of daoy cell	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Martin Baumgartner	2022-03-14	medulloblastoma, hepatocyte growth factor, map4k4, plasma membrane proteome, 
PXD025231	ikaros and menin are functionally cooperative therapeutic targets in acute myeloid leukemia	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Eric Fischer	2022-03-10	ikaros, ikzf1, menin, men1, dot1l, kmt2a, mll1, acute myeloid leukemia, lenalidomide, imid, 
PXD023201	proteogenomic pathogenesis and classification of acute myeloid leukemia (discovery cohort)	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Prof.Matthias Mann	2022-03-08	aml, label free proteome, dia, 
PXD023090	proteogenomic pathogenesis and classification of acute myeloid leukemia	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Prof.Matthias Mann	2022-03-08	supersilac, proteome, aml, 
PXD022894	proteogenomic pathogenesis and classification of acute myeloid leukemia	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Prof.Dr.Matthias Mann	2022-03-08	proteome, acute myeloid leukemia, transcriptome , mitochondria, 
PXD028007	the proteogenomic subtypes of acute myeloid leukemia	PRIDE	homo sapiens 	Orbitrap Exploris 480	Dataset with its publication pending	Prof.Matthias Mann	2022-03-08	acute myeloid leukemia, healthy controls, cd34 cells, proteome, 
PXD003819	7-ketocholesterol overcomes drug resistance in chronic myeloid leukemia cell lines beyond mdr1 mechanism_part2	PRIDE	homo sapiens 	LTQ Orbitrap Velos	27343758	Giuseppe Palmisano	2022-03-07	biomedical, human, oxysterols, multidrug resistance, chronic myeloid leukemia, quantitative proteomics, cell death and 7-ketocholesterol., 
PXD003820	7-ketocholesterol overcomes drug resistance in chronic myeloid leukemia cell lines beyond mdr1 mechanism_part3	PRIDE	homo sapiens 	LTQ Orbitrap Velos	27343758	Giuseppe Palmisano	2022-03-07	biomedical, human, oxysterols, multidrug resistance, chronic myeloid leukemia, quantitative proteomics, cell death and 7-ketocholesterol., 
PXD008221	preclinical targeted therapy for retinoblastoma using epcam aptamer sirna chimeras	PRIDE	homo sapiens 	Orbitrap Fusion	prca.201700101	Dr. Sailaja Elchuri	2022-03-02	biomedical, targeted delivery, epcam, cancer stem cells, retinoblastoma, 
PXD011151	mitochondrial proteome analysis from lc-ms/ms glioblastoma cell lines	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Sergio Manuel Encarnaci�n Guevara	2022-03-02	biological, biomedical, mitochondrial proteome, lc-ms/ms, label-free quantification, glioblastoma cell lines, 
PXD010247	proteome profiling of extracellular vesicles from neurosurgical aspirates identifies cct6a as a potential glioblastoma biomarker with prognostic significance	PRIDE	homo sapiens 	Q Exactive	30451371	Kimberley Louise Kaufman	2022-03-01	biological, human, glioblastoma, glioma, brain, tumour, lc-ms/ms, extracellular vesicles, exosomes, biomarker, cct6a, 
PXD026327	intestinal n-glycomics in pediatric ulcerative colitis	PRIDE	homo sapiens 	Q Exactive HF	J.JPROT.2021.104369	Daniel Figeys	2022-03-01	glycomics, microbiome, ulcerative colitis, ibd, 
PXD007121	long non-coding rna snhg1 in neuroblastoma	PRIDE	homo sapiens 	LTQ Orbitrap	30516047	Hsueh-Fen Juan	2022-03-01	biological, biomedical, neuroblastoma, mycn, long non-coding rna, snhg1, rna-protein pull down assay, lc-ms/ms, rna-immunoprecipation (ip) , matr3, 
PXD002112	feedback circuitry between mir-218 repression and rtk activation in glioblastoma	PRIDE	homo sapiens 	LTQ Orbitrap	Dataset with its publication pending	Marie Celeste Simon	2022-03-01	biomedical, mir-218, glioblastoma, rtk, stat3, 
PXD007901	neuroblastoma intratumor heterogeneity	PRIDE	mus musculus , homo sapiens 	LTQ Orbitrap XL ETD	0008-5472.CAN-18-0527	Fredrik Levander	2022-02-28	bioinformatics infrastructure for life sciences (bils) network (sweden), biological, biomedical, neuroblastoma, pdx, 
PXD012032	identification of dhc2 associated nuclear proteins in dhc2 knockdown u87 cells	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Yawei Liu	2022-02-28	glioblastoma, dhc2, mgmt, label-free, subcellular proteomics, 
PXD011867	proteaphagy contributes to bortezomib resistance in mantle cell lymphoma	PRIDE	homo sapiens 	LTQ Orbitrap	35205670	Manuel S. Rodriguez [1]/Rune Matthiesen [2]	2022-02-28	lymphoma, tubes, bortezomib resistance, proteaphagy, ubiquitin proteasome system, 
PXD005075	lc-ms data sets of five sub cellular fractions of a hodgkin lymphoma cell line (kmh2) before and after challenged with glucosamine for 24 hours	PRIDE	homo sapiens 	Q Exactive	26743025	Rune Matthiesen	2022-02-27	biomedical, lymphoma cell line, kmh2, lc-ms, 
PXD009428	comparison of ultracentrifugation and a commercial kit for isolation of exosomes derived from glioblastoma and breast cancer cells	PRIDE	homo sapiens 	Q Exactive	FSOA-2018-0088	Henriette Engen Berg	2022-02-25	technical, biomedical, lc-ms/ms, human, glioblastoma multiforme, exosomes, 
PXD010745	a gene expression-based strategy identifies the anthelminthic drug niclosamide for high-risk neuroblastoma therapy	PRIDE	homo sapiens 	LTQ Orbitrap	Dataset with its publication pending	Hsueh-Fen Juan	2022-02-23	cancer (b/d-hpp), biological, biomedical, neuroblastoma, mycn, recurrent drug−transcript relationships, niclosamide, lc-ms/ms, metabolism, 
PXD000690	altered microbiota-host mutualism and bloom of atopobium define severe pediatric crohn's disease	PRIDE	homo sapiens 	LTQ Orbitrap Elite	27876802	Daniel Figeys	2022-02-22	colon, ibd,, 
PXD005850	identification of ntal protein interactors	PRIDE	homo sapiens 	Q Exactive	33971369	Vitor Marcel Fa�a	2022-02-21	ntal, leukemia, interactors, 
PXD024807	phosphoproteomic profiling of t-cell acute lymphoblastic leukemia identifies targetable kinases and combination treatments	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Connie Jimenez	2022-02-21	human, t-all, t-cell acute lymphoblastic leukemia, label-free, single-shot, ptyr, phosphoproteomics, 
PXD025033	a novel regulatory mechanism of u2 spliceosome proteostasis that controls the transcriptome and therapy response in cancer	MassIVE	homo sapiens	Q Exactive HF	no publication	Young Ah Goo	2022-02-19	human, t-all, lfq, 
PXD027355	proteomes of chromatin fractions derived from su-dhl-5 cells	PRIDE	homo sapiens 	Q Exactive HF	35022408	Stefan M�ller	2022-02-18	su-dhl-5 cells (b-cell lymphoma), 
PXD027864	acetylation profiles in the metabolic process of glioma-associated seizures	PRIDE	homo sapiens 	timsTOF Pro	34664012	Dezhi Kang	2022-02-17	lysine acetylation, metabolic process, glioma-associated seizures, 
PXD026726	proteomic-based analysis of hypoxia and physioxia responsive proteins and pathways in dlbclproteomic-based analysis of hypoxia and physioxia responsive proteins and pathways in dlbcl	PRIDE	homo sapiens 	Q Exactive HF	34440794	Jacek R. Wisniewski	2022-02-17	hypoxia, physioxia, diffuse large b-cell lymphoma (dlbcl), b-cell non-hodgkin lymphomas, label-free quantitative proteomics, protein-protein interaction network (ppin), cell stress, 
PXD026182	muscular and molecular pathology associated with spata5-deficiency in a child with ehlmrs	PRIDE	homo sapiens 	Q Exactive	34360601	Andreas Hentschel	2022-02-17	ehlmrs, spata5, mitochondrial disorder, muscle proteomics, myopathology, 
PXD026016	design and development of nanoproteomics strategies for biomarker identification in cerebrospinal fluid of leptomeningeal disease, using as model lymphoma non-hodgkin b.	PRIDE	homo sapiens 	LTQ Orbitrap Velos	35053611	Manuel Fuentes Garc�a	2022-02-17	cerebrospinal fluid (csf), leptomeningeal metastasis (lm), lc-ms/ms, protein microarrays, protein-based biomarker., 
PXD026020	nup98-nsd1 its mutated forms interactome	PRIDE	homo sapiens 	Q Exactive HF	35073946	Angela Bachi	2022-02-17	aml, interactome, phase separation, smarca5, 
PXD025996	mycn and max alterations in wilms tumor and identification of novel interactors as biomarker candidates	PRIDE	homo sapiens 	Orbitrap Fusion	34689785	Manfred Gessler	2022-02-17	n-myc, wilms tumour, kidney, pediatric cancer, prognostic marker, 
PXD025970	protein and signaling pathway responses to rhil-6 intervention before lobaplatin treatment in osteosarcoma cells using quantitative phosphoproteome analysis	PRIDE	homo sapiens 	Q Exactive Plus	34717622	Qiong Ma	2022-02-17	human, osteosarcoma, il-6, lobaplatin, phosphoproteome analysis, 
PXD025966	human breast milk enhances intestinal mucosal barrier function and innate immunity in a pediatric human enteroid model	PRIDE	homo sapiens 	Orbitrap Fusion	34327199	Marcela Pasetti	2022-02-17	pediatric,enteroids, breatsmilk, 
PXD029652	ezh2 depletion potentiates myc degradation inhibiting neuroblastoma and small cell carcinoma tumor formation	PRIDE	homo sapiens 	Orbitrap Fusion	35013218	Guoliang Qing	2022-02-17	myc, mycn, ezh2, ap-ms, 
PXD024871	immunopeptidomics-guided warehouse design for peptide-based immunotherapy in chronic lymphocytic leukemia	PRIDE	homo sapiens 	Orbitrap Fusion Lumos; LTQ Orbitrap XL	34305947	Juliane S. Walz	2022-02-17	cll, hla, immunopeptidome, peptide warehouse, 
PXD024551	loss of ret promotes mesenchymal identity in neuroblastoma cells	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	33921066	Ruth Palmer	2022-02-16	alk, alkal2, emt, neural differentiation, adrenergic, retinoic acid, 
PXD024455	comprehensive structure-activity profiling of micheliolide and its targeted proteome in leukemia cells via probe-guided late-stage c—h functionalization	PRIDE	homo sapiens 	Q Exactive Plus	34079900	Rudi Fasan	2022-02-16	c-h functionalization, biocatalysis, leukemia stem cells, sesquiterpene lactones, multi-probe proteomics, competitive pull-down, 
PXD024235	phosphoproteomic characterization of primary aml samples and relevance for response towards flt3-inhibitors	PRIDE	homo sapiens 	Q Exactive HF	34136754	Connie Ramona Jimenez	2022-02-16	aml, flt3, phosphoproteomics, label-free, ptyr, imac, midostauri, gilteritinib, 
PXD024197	pre and post atra/vp treatment proteomic and phophoproteomic profiling of aml responders and non-responders	PRIDE	homo sapiens 	Q Exactive HF	33946813	Maria Hernandez Valladares	2022-02-16	atra valproic acid aml, 
PXD024110	responder and non-responder proteomic and phosphoproteomic profiles to atra/valproic acid before treatment	PRIDE	homo sapiens 	Q Exactive HF	33946813	Maria Hernandez-Valladares	2022-02-16	atra aml mass spectrometry valcproic acid proteomics phosphoproteomics, 
PXD024019	effects of the idh1 r132h mutation on the energy metabolism: a comparison between tissue and corresponding primary glioma cell cultures	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	35128264	Theo Luider	2022-02-16	glioma, idh1 r132h mutation, cell cultures, proteomics, energy metabolism, 
PXD028790	tmt quantitative proteomic analysis of craniopharyngioma tissues	PRIDE	homo sapiens 	Q Exactive Plus	34707096	Dohyun han	2022-02-16	human, craniopharyngioma, tmt, lc-ms/ms, 
PXD028779	quantitative proteomic analysis of plasma exosomes to identify the candidate biomarker of imatinib resistance in chronic myeloid leukemia patients	PRIDE	homo sapiens 	Q Exactive Plus	34993140	Bo Huang	2022-02-16	exosomes, chronic myeloid leukemia, proteomics, imatinib, ribosomal protein l13, ribosomal protein l14., 
PXD023376	label-free quantitative proteomic analysis of craniopharyngioma tissues	PRIDE	homo sapiens 	Q Exactive Plus	34707096	Dohyun Han	2022-02-16	human, lfq, craniopharyngioma, 
PXD022152	functional analyses of human luc7-like proteins involved in splicing regulation and myeloid neoplasms	PRIDE	homo sapiens 	LTQ Orbitrap	33852859	Richard A. Padgett	2022-02-16	luc7l, luc7l2, luc7l3, pre-mrna splicing, splicing, mds, aml, 
PXD027240	proteomic profiling of small extracellular vesicles (evs), released by chronic myeloid leukemia cells k562	PRIDE	homo sapiens 	LTQ Orbitrap Velos; Q Exactive	BLOODADVANCES.2021006195	Katarzyna Piwocka	2022-02-16	k562, leukemia, evs, extracelluar vesicles,, 
PXD016800	surface proteomics reveals cd72 as a target for in vitro-evolved nanobody-based car-t cells in refractory b-cell malignancies	PRIDE	homo sapiens 	Q Exactive	33727310	Arun Wiita	2022-02-15	cell surface, b-all, cd72, 
PXD015152	identification of critical therapeutic nodes to overcome asparagine deprivation resistance in melanoma	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	33615182	Debora Bonenfant	2022-02-15	biomedical, leukemia, human, asparagine, 
PXD028125	a specific inhibitor of aldh1a3 regulates retinoic acid biosynthesis in glioma stem cells	PRIDE	homo sapiens 	LTQ Orbitrap	34934174	Nathan A. Yates	2022-02-15	cancer (b/d-hpp), human proteome project, human, cancer, target-id, small molecule, 
PXD012432	msi-1 knockdown in mb002 medulloblastoma cell line	PRIDE	homo sapiens 	Q Exactive	34965173	Yu Lu	2022-02-15	biomedical, human, medulloblastoma, msi-1, 
PXD024009	effects of the idh1 r132h mutation on the energy metabolism: a comparison between tissue and corresponding primary glioma cell cultures	PRIDE	homo sapiens 	Orbitrap Eclipse	Dataset with its publication pending	Theo Luider	2022-02-14	glioma, idh1 r132h mutation, cell cultures, proteomics, energy metabolism, 
PXD023350	extracellular matrix proteome remodelling in human glioblastoma and medulloblastoma	PRIDE	homo sapiens 	LTQ Orbitrap Velos	34533964	Giuseppe Palmisano	2022-02-14	extracellular matrix, glioblastoma, medulloblastoma, proteomics, fibronectin, 
PXD018744	multilayered proteomics uncovers notch/pkc targeting to overcome resistance to notch inhibition in acute lymphoblastic leukemia	PRIDE	homo sapiens 	Q Exactive HF; Orbitrap Exploris 480	33947863	Jesper Velgaard Olsen	2022-02-14	epic-xs, proteomics, pkcδ,notch signaling, drug resistance, t-all, 
PXD031500	an interactive mass spectrometry atlas of histone posttranslational modifications in t-cell acute leukemia	PanoramaPublic	homo sapiens	TripleTOF 6600; TripleTOF 5600	no publication	Maarten Dhaenens	2022-02-11	leukemia, t-all, epigenetics, histone post-translational modifications, lc-ms, 
PXD027034	a jack of all trades and a master of some: remodeling of signaling pathways downstream of cfim 3’ end processing factor	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Alexander Schmidt	2022-02-11	cfim3, phosphorylation, tmt, 
PXD022836	comparative proteomics for identification of type i interferon response in primary human glioblastoma multiforme cells	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Irina A Tarasova	2022-02-03	glioblastoma, proteomics, interferone response, lc-ms/ms, oncolytic viruses, 
PXD022906	comparative proteomics for identification of type i interferon response in primary human glioblastoma multiforme cells	PRIDE	homo sapiens 	Q Exactive HF; Q Exactive Plus	Dataset with its publication pending	Irina A Tarasova	2022-02-03	glioblastoma, proteomics, interferone response, lc-ms/ms, oncolytic viruses, 
PXD031001	identification of etv6 bound protein by affinity purification of etv6-ha fusion protein in reh cells	PRIDE	homo sapiens 	TripleTOF 5600	Dataset with its publication pending	Daniel Sinnett	2022-01-26	etv6, leukemia, all,, 
PXD020141	the long non-coding rna hotairm1 promotes tumor aggressiveness and radiotherapy resistance in glioblastoma	PRIDE	homo sapiens 	Q Exactive	34584066	Kai St�hler	2022-01-19	glioblastoma, hotairm1, long non-coding rna, radiosensitivity, 
PXD025110	molecular and epigenetic characterization of the signal transducer cd24 in germ cell tumors	PRIDE	homo sapiens 	Q Exactive	34293822	Kai St�hler	2022-01-19	cd24, germ cell tumors, embryonal carcinoma, differentiation, pluripotency, epigenetics, 
PXD030506	activated sumoylation restricts the mhc class i antigen presentation pathway to confer immune evasion in cancer	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Prof. Dr. Stefan M�ller	2022-01-15	human, b-cell lymphoma, 
PXD022164	indisulam targets rna splicing and metabolism to serve as a novel therapeutic strategy for high-risk neuroblastoma	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Dr Hector Keun	2022-01-13	human, cancer cells, lc-msms, drug treatment, 
PXD011251	aml1-eto induced leukemia stem cell self-renewal depends on plcg1	PRIDE	mus musculus , homo sapiens 	Q Exactive	Dataset with its publication pending	Florian H. Heidel	2022-01-12	biomedical, acute myeloid leukemia, stem cells, 
PXD024200	twist1 expression is associated with high-risk neuroblastoma and promotes primary and metastatic tumor growth	PRIDE	homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Annick M�hlethaler-Mottet	2022-01-10	twist1/2, neuroblastoma, metastasis, extracellular matrix, myofibroblasts, tumor microenvironment, tumor-stroma cross-talk, secretome, 
PXD030760	proteomics analysis of  glioma cells and astrocytes	iProX	homo sapiens	Q Exactive	Dataset with its publication pending	Prof. Hui Tan	2022-01-05	proteomics analysis，glioma cells，astrocytes, 
PXD026920	glycopeptidomics analysis of a cell line model revealing pathogenesis and potential marker molecules for the early diagnosis of gastric malt lymphoma	iProX	homo sapiens x mus musculus hybrid cell line	Q Exactive Plus	Dataset with its publication pending	Di Xiao	2021-12-30	gastric malt lymphoma, helicobacter pylori, cell line model, glycopeptidomics, 
PXD029919	hotair knockdown glioma cell proteomics	iProX	homo sapiens	Q Exactive Plus	Dataset with its publication pending	Chunsheng Kang	2021-12-30	hotair, lncrna, glioma, 
PXD027190	phosphoproteomics provides novel insights into the response of primary acute lymphoblastic leukemia cells to microtubule depolymerization in g1 phase of the cell cycle	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	34604676	Timothy C. Chambers	2021-12-30	microtubule-targeting agents, vincristine, microtubules, acute lymphoblastic leukemia, palbociclib, phosphoproteomics, c-jun, c-jun n-terminal kinase, dna damage response, 
PXD030442	oligosarcomas, idh-mutant are distinct and aggressive	MassIVE	homo sapiens	Orbitrap Exploris 480	no publication	David E.Reuss	2021-12-28	oligosarcoma, oligodendroglioma, 
PXD028267	human diffuse large b cell lymphoma cell lines	PRIDE	homo sapiens 	Q Exactive HF	34681663	Rune Matthiesen	2021-12-20	human, cancer, diffuse large b cell lymphoma cell lines, extra cellular vesicles, 
PXD029012	the proteome of neuroglobin-overexpressing sh-sy5y neuroblastoma cells	PRIDE	homo sapiens 	LTQ Orbitrap	34943907	Michele Costanzo	2021-12-20	neuroglobin, ngb, label-free proteomics, s-trap, 
PXD025507	actinomycin targets npm1c-primed mitochondria in aml	PRIDE	homo sapiens 	Q Exactive	2159-8290.CD-21-0177	Hugues de Th�	2021-12-17	npm1c, pml, actinomycin d, senescence, mitochondria, qexactive, lfq, 
PXD017130	immuno-transcriptomic profiling identifies actionable alterations in pediatric solid malignancies	PRIDE	homo sapiens 	Q Exactive	34818552	Javed Khan, M.D.	2021-12-07	immunology, transcriptome, pediatric,  malignancies, 
PXD017532	sex estimation of a mesolithic infant through enamel peptides by lc-ms/ms	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Federico Lugli	2021-11-29	amelogenin, sex estimation, enamel, fossil, 
PXD029920	integrated proteomics and n-glycoproteomic characterization of glioblastoma multiform revealed n-glycosylation heterogeneities and elevations in mannose, sialyation and fucosylation	iProX	homo sapiens	Orbitrap Fusion Lumos	Dataset with its publication pending	Huijuan Wang	2021-11-25	glioblastoma multiform, proteomics, intact glycopeptides, n-glycosylation heterogeneities, n-glycan, 
PXD022752	proteome glioma cell lines lc-ms/ms	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Gunnar Dittmar	2021-11-25	human, glioma cells, idh1wt, idh1mutant, lc-ms/ms, 
PXD026904	camkk and crac channel regulate autophagy, differentiation and apoptosis in acute promylocytic leukemia cells treated by atra	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Mojgan Djavaheri-Mergny	2021-11-24	calcium signaling, autophagy, differentiation, cell death , acute promyelocytic leukemai quantitative proteome, 
PXD029769	scp4-stk35/pdik1l complex is a dual phospho-catalytic signaling dependency in acute myeloid leukemia 	MassIVE	homo sapiens	instrument model	no publication	Christopher Vakoc	2021-11-16	scp4,  stk35,  pdik1l,  acute myeloid leukemia,  phosphatase,  kinase,  complex,  dependency, 
PXD026913	proteomics characterization of ntrk1/trka signaling in neuroblastoma cells reveals intra-nuclear aggregation of lamin a/c	PRIDE	homo sapiens 	Q Exactive	34771457	Thilo Bracht	2021-11-11	mycn, nuclear foci, trka, ntrk1, neuroblastoma, 
PXD026876	proteomics characterization of ntrk1/trka signaling in neuroblastoma cells reveals intra-nuclear aggregation of lamin a/c	PRIDE	homo sapiens 	Q Exactive HF	34771457	Thilo Bracht	2021-11-11	mycn, nuclear foci, trka, ntrk1, neuroblastoma, 
PXD026374	plcg1 is required for aml1-eto leukemia stem cell self-renewal	PRIDE	homo sapiens 	Orbitrap Exploris 480	Dataset with its publication pending	Prof.Dr.Matthias Mann	2021-11-04	plcg1, aml, aml1-eto, fusion oncogene, proteome, leukemic stem cells, 
PXD028933	competitive binding of e3 ligases trim26 and wwp2 controls sox2 in glioblastoma	PRIDE	homo sapiens 	LTQ Orbitrap Velos	Dataset with its publication pending	Albert H. Kim	2021-11-04	e3 ligase, trim26, wwp2, sox2, glioblastoma, brain cancer, 
PXD026329	ybx1 mediates translation of oncogenic transcripts to control cell competition in aml	PRIDE	homo sapiens 	Q Exactive HF	34465866	Prof.Dr.Matthias Mann	2021-11-03	ybx1, aml, proteome, oncogene, translation, 
PXD027110	surfaceome proteomic of glioblastoma revealed potential targets for immunotherapy	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Michel Salzet	2021-11-03	glioblastoma, immunotherapy, surfaceome, surface proteins, mutated proteins, 
PXD025894	human skull base chordoma lc-msms	PRIDE	homo sapiens 	Q Exactive	34540668	Yazhuo Zhang	2021-11-03	human, skull base chordoma, lc-msms, 
PXD028612	pp2a/b55a substrate recruitment as defined by the retinoblastoma-related protein p107	MassIVE	homo sapiens	Q Exactive Plus	no publication	Arminja Kettenbach	2021-11-02	phosphorylation, pp2a, p107, prb, tau, b55a, 
PXD027187	atr inhibition enables complete tumour regression in alk-driven nb mouse models	PRIDE	homo sapiens 	LTQ Orbitrap	Dataset with its publication pending	Carina Sihlbom	2021-11-02	atr inhibitor, alk, neuroblastoma, phosphorylation, 
PXD019381	an anatomic proteomic atlas of human glioblastoma	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Phedias Diamandis	2021-11-02	glioblastoma,anatomical niches, laser capture microdissection, lc-ms/ms, 
PXD029290	topographic mapping of the glioblastoma proteome reveals a triple axis model of intra-tumoral heterogeneity	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Phedias Diamandis	2021-11-02	gbm, proteomics, mass spectrometry, 
